SDG	Pub_doi	Pub_title	Pub_concept	SDG_short
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Natural Hazard	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Extreme Form	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Sustainable Development Goal	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Extreme Poverty	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Caribbean Eastern	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Poverty Line	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	School Feeding	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Adequate Support	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Regional Estimate	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Basic Standard	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	End Poverty	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Social Protection System	SDG01
SDG01: No Poverty	10.18356_a2b40407-en	The Sustainable Development Goals Report 2016 - No poverty	Maternity Benefit	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Pro-poor Development	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	World Summit On Sustainable Development	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Make Democracy Work	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	International Developmen T Researc H Centr	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	School Nutrition Programme	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Public Account Committee	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Effective Stat	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Education Minister Meeting	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Pro-poor Policy	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Commonwealth Government	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Community School	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Adult Literacy Class	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Government Development Project	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Cohesive Society	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Commonwealth Human	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Indian Prime Minister	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Severe Obstacle	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Woman's Interest	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Local Public Official	SDG01
SDG01: No Poverty	10.14217_9781848598355-6-en	Making Democracy Work for Pro-poor Development - National Measures to Support Development and Democracy	Weak Administrative Capacity	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Cooperation Report	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Co-operation Report	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	End Poverty	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Cooperation	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Development Co-operation	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Extreme Income Poverty	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Global Minimum Standard	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Chronic Poverty	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Multilingual Summary	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Reduce Income Poverty	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	International Development Agenda	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Tracking Progress	SDG01
SDG01: No Poverty	10.1787_dcr-2013-sum-en	Development Co-operation Report 2013: Ending Poverty (Summary in English) - Development Co-operation Report 2013: Ending Poverty (Summary in English)	Global Goal	SDG01
